Topology,embed_type,space_group,genus,vertices,edges
abr,1b,P4(2)/mcm,15,3,3
aca,1,P6(3)/mmc,23,3,2
acaa,1,P6(3)/mmc,79,4,10
acs,1b,P6(3)/mmc,5,1,1
acsa,1b,P6(3)/mmc,13,1,3
acsg,1b,P6(3)22,7,1,3
act,1b,Ia-3d,29,2,2
afi,1b,P6/mcc,25,1,4
afw,1b,R32,4,1,2
afwa,1b,R32,13,2,6
afx,1b,P6(3)/mmc,49,2,7
afy,1b,P-31m,17,2,5
agw,1b,P6(3)/mmc,17,3,2
ahq,2,R-3m,8,3,2
ahr,1b,R-3,8,3,3
aht,1b,Cmcm,13,2,6
ala,1b,P-62m,10,3,2
alba,1b,P6/mmm,25,2,5
albd,4,P6/mmm,10,4,3
albxd,1a,P6/mmm,17,3,4
alca,1b,P6/mmm,61,4,9
alm,1b,P4(2)/mnm,21,2,4
alw,1b,Pbcn,29,3,6
ana,1b,Ia-3d,25,1,1
anae,1a,Ia-3d,97,1,4
anh,1b,P6(2)22,10,2,2
ant,1b,I4(1)/amd,7,2,2
apc,1b,Cmca,17,2,7
apd,1b,Cmca,17,2,7
apo,1b,Pbcn,13,2,3
asc,1b,P-62m,7,3,2
asd,2,P4/mmm,10,3,2
asda,1b,P4/mmm,29,4,9
asea,1b,P6/mmm,43,4,9
asfa,1b,I4(1)/amd,41,3,8
asn,1b,P31c,21,6,8
asp,1b,I-42d,11,3,3
ast,1a,Fm-3m,11,2,2
aste,1a,Fm-3m,41,2,3
asv,1b,P4/mmm,11,2,3
atn,1b,I4/mmm,9,1,3
atne,1b,I4/mmm,33,3,4
ato,1b,R-3m,13,1,4
att,1b,Pmma,13,2,6
atv,1b,Cmma,13,2,6
aww,1b,P4/nmm,25,2,5
baa,1b,I-42d,7,2,2
baae,1a,I-42d,25,2,6
bac,1b,P6(3)/mcm,19,2,4
baf,1b,Cmcm,9,2,5
baj,1a,Im-3m,73,2,5
bal,1b,P-31m,9,2,4
bam,1b,P6/mmm,49,2,7
ban,1b,I4(1)/amd,33,2,6
bao,1b,P6/mmm,11,2,3
bap,1b,P6(3)/mcm,33,2,5
bar,1a,Fm-3m,49,2,5
bas,1a,Pm-3m,37,2,4
bat,1a,Pm-3m,49,2,5
baw,1a,Im-3m,73,2,5
bay,1b,P6/mmm,17,2,4
baz,1a,P6(3)/mmc,13,2,3
bbb,1b,P6/mmm,19,2,4
bbc,1b,P4/mmm,13,2,4
bbd,1b,P4/mmm,25,2,6
bbe,1b,Imma,5,2,3
bbf,1b,Pmna,7,2,2
bbg,1b,Pccm,7,2,3
bbh,1b,Cmma,7,2,3
bbi,1b,C222(1),7,2,4
bbj,1b,Ama2,7,2,4
bbk,1b,P222(1),7,2,5
bbl,1b,I2(1)2(1)2(1),7,2,5
bbm,1b,C2/c,7,2,4
bbn,1b,I4/mmm,13,2,3
bbo,1b,I4/mmm,21,2,4
bbq,1b,P6(3)/mmc,31,2,4
bbr,1b,P4(1)22,9,2,3
bbs,1b,P6(1)22,13,2,3
bbv,1b,I4/mmm,9,2,3
bbx,1b,R32,7,2,3
bby,1b,P6/mmm,37,2,6
bbz,1b,P6/mmm,25,2,5
bca,1b,P6/mmm,37,2,6
bcb,1b,P4/mmm,17,2,5
bcd,1b,P4/mmm,25,2,6
bce,1b,P4/mmm,25,2,6
bcf,1b,P4/mmm,33,2,7
bcg,2b,Cccm,7,1,3
bch,1b,I2(1)3,17,3,3
bcj,1a,Im-3m,33,2,4
bcm,1b,P4(2)/m,7,2,3
bco,1b,P222(1),7,2,5
bcp,1b,Cmma,7,2,4
bcq,1b,Fmmm,7,2,4
bcs,2b,Ia-3d,17,1,1
bcu,1a,Im-3m,4,1,1
bcuf,1b,I422,5,1,3
bcug,1b,P4/nnc,9,1,3
bcuh,1b,P4(2)/nmc,9,1,3
bcuhe,1b,P4(2)/nmc,25,3,3
bcuk,1a,Im-3m,49,1,3
bcv,1b,Ia-3d,61,2,3
bcw,1b,Pa-3,49,2,4
bcx,1b,P4(3)32,33,2,4
bcy,1b,R-3c,19,2,4
bcz,1b,P4(3)32,37,2,4
bda,1b,I4(1)/amd,25,2,4
bel,1b,P-6m2,6,2,3
ben,1b,P-6m2,6,2,2
bik,1b,Cmcm,7,2,4
bix,1b,Ia-3,57,3,4
bmn,1b,I4(1)32,7,1,2
bne,1b,I2/m,6,2,4
bnl,1b,Ibam,17,2,5
bnna,1a,P6/mmm,14,2,4
bnnt,1b,P6/mmm,73,3,10
boe,1b,P23,6,2,2
bon,3c,Im-3m,91,2,4
bor,1b,P-43m,6,2,1
bpa,1b,Pbcn,9,2,4
bpb,u1b,P6(5)22,7,2,3
bpd,1b,Pnna,9,2,5
bpe,1b,Pnna,9,2,5
bpf,1b,P2/c,5,2,5
bpg,1b,C2/m,5,2,5
bpi,1b,Pbcn,9,2,4
bpj,1b,P4(2)/mmc,7,2,3
bpk,1b,Ibca,9,2,5
bpl,1b,Cmca,9,2,5
bpm,1b,Pbcm,9,2,5
bpn,1b,Pcca,9,2,5
bpo,1b,Pcca,9,2,5
bpp,1b,Fddd,5,2,3
bpq,1b,Imma,7,2,2
bpr,1b,Ia-3d,25,2,2
bps,1b,Ccca,7,2,4
bpt,1b,Pnnn,7,2,4
bpu,1b,Pm-3n,37,2,4
bpv,1b,Cmcm,7,2,4
brk,1b,Pbca,25,3,6
brl,1b,P6/mmm,10,2,2
brla,1b,P6/mmm,31,3,7
bsn,1a,I4(1)/amd,5,1,2
bsv,1b,I4(1)/amd,17,2,3
bto,1b,P6(2)22,4,1,2
btoe,1b,P6(2)22,10,2,2
btu,1a,Pmmm,7,2,5
btv,2b,Pmmm,6,2,4
buh,4,Pm-3n,65,3,3
bva,2b,Pm-3n,25,1,3
bwt,2,Pa-3,25,2,3
byl,1b,Imma,13,2,6
bzd,1b,P6/mmm,49,4,9
caba,1a,Pm-3m,34,2,4
cag,1b,Cmca,9,1,4
cai,1a,P4/mbm,11,2,4
cald,1b,I4/mcm,35,4,7
can,1b,P6(3)/mmc,13,1,3
cane,1b,P6(3)/mmc,49,3,4
cas,1b,Cmcm,13,3,6
cat,1b,P6(3)/mmc,11,2,2
cbd,1b,Cmcm,23,6,9
cbn,1b,C2/m,9,4,8
cbo,1b,Pa-3,25,1,2
cboe,1a,Pa-3,97,2,6
cda,1b,I4(1)22,7,2,2
cdj,1b,Im-3,15,2,2
cdl,2a,P4(2)/mmc,5,1,3
cdle,1b,P4(2)/mmc,9,3,2
